5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;3;5;5;5;5;5;5;5;5;5
5;5;5;5;5;3;5;5;5;5;5;5;5;5;5
5;5;5;5;5;3;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;1;3;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
;;;;;;;;;;;;;;
Code;Bezeichnung;Kosten;;X;Y;;;;;;;;;
0;Ebene;4;;4;10;;;;;;;;;
1;Fluss;7;;7;9;;;;;;;;;
2;Weg;3;;;;;;;;;;;;
3;Wald;4;;;;;;;;;;;;
4;Brücke;3;;;;;;;;;;;;
5;Felswand;2;;;;;;;;;;;;
