5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;3;5;5;5;5;5;5;5;5;5
5;5;5;5;5;3;5;5;5;5;5;5;5;5;5
5;5;5;5;5;3;5;5;5;5;5;5;5;5;5
5;5;5;5;5;3;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
;;;;;;;;;;;;;;
Code;Bezeichnung;Kosten;;X;Y;;;;;;;;;
0;Ebene;4;;4;10;;;;;;;;;
1;Fluss;7;;5;5;;;;;;;;;
2;Weg;2;;;;;;;;;;;;
3;Wald;12;;;;;;;;;;;;
4;Brücke;3;;;;;;;;;;;;
5;Felswand;10;;;;;;;;;;;;
