5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;3;5;5;5;5;5;5;5;5;5
5;5;5;5;5;3;5;5;5;5;5;5;5;5;5
5;5;5;5;5;3;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;3;3;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
;;;;;;;;;;;;;;
Code;Bezeichnung;Kosten;;X;Y;;;;;;;;;
0;Ebene;4;;4;10;;;;;;;;;
1;Fluss;7;;6;9;;;;;;;;;
2;Weg;1;;;;;;;;;;;;
3;Wald;3;;;;;;;;;;;;
4;Brücke;3;;;;;;;;;;;;
5;Felswand;2;;;;;;;;;;;;
