2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
2;2;2;2;2;2;2;2;2;5;5;5;5;5;5
2;2;2;2;2;2;2;2;2;5;5;5;5;5;5
2;2;2;2;2;2;2;2;2;5;5;5;5;5;5
2;2;2;2;2;2;2;2;2;5;5;5;5;5;5
2;2;2;2;2;2;2;2;2;5;5;5;5;5;5
2;2;2;2;2;2;2;2;2;5;5;5;5;5;5
2;2;2;2;2;2;2;2;2;5;5;5;5;5;5
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
0;5;2;2;2;2;2;2;2;2;2;2;2;2;2
5;5;2;2;2;2;2;2;2;2;2;2;2;2;2
1;1;2;2;2;2;2;2;2;2;2;2;2;2;2
5;3;2;2;2;2;2;2;2;2;2;2;2;2;2
;;;;;;;;;;;;;;
Code;Bezeichnung;Kosten;;X;Y;;;;;;;;;
0;Ebene;20;;0;14;;;;;;;;;
1;Fluss;5;;1;11;;;;;;;;;
2;Weg;20;;;;;;;;;;;;
3;Wald;8;;;;;;;;;;;;
4;Brücke;3;;;;;;;;;;;;
5;Felswand;5;;;;;;;;;;;;
